user_id,algorithm_orig,news_id,old_rank,rating,score_orig,algorithm_new,new_rank,score_new,algorithm,ranking_difference,base_algorithm
8,B1-STATE_ART,1337245958787244033,4,5,2.723077168872436,B1-STATE_ART-SCSA_PLUS_V3,4,6.210487445077232,B1-STATE_ART,0,B1
8,B1-STATE_ART,1368703131652005888,5,5,1.6852254812758782,B1-STATE_ART-SCSA_PLUS_V3,5,5.997016009862429,B1-STATE_ART,0,B1
8,B1-STATE_ART,1296750375114964992,6,5,1.2685726176090701,B1-STATE_ART-SCSA_PLUS_V3,6,3.71437241998367,B1-STATE_ART,0,B1
8,B1-STATE_ART,1363673526096470017,7,4,-0.1110790198138416,B1-STATE_ART-SCSA_PLUS_V3,8,-0.023782490342108976,B1-STATE_ART,-1,B1
8,B1-STATE_ART,1361140319002103813,8,4,-0.11862275878388773,B1-STATE_ART-SCSA_PLUS_V3,7,2.601279972614014,B1-STATE_ART,1,B1
8,B1-STATE_ART,1363548342832218116,9,5,-0.14903146344835963,B1-STATE_ART-SCSA_PLUS_V3,10,-2.453300714766769,B1-STATE_ART,-1,B1
8,B1-STATE_ART,1369095591607865347,10,4,-0.15394635345067015,B1-STATE_ART-SCSA_PLUS_V3,9,-0.16336369364272832,B1-STATE_ART,1,B1
9,B1-STATE_ART,1365001111946420226,1,4,0.23600674980248346,B1-STATE_ART-SCSA_PLUS_V3,8,-0.2091319628623289,B1-STATE_ART,-7,B1
9,B1-STATE_ART,1341790679945670656,2,4,0.1491021037293476,B1-STATE_ART-SCSA_PLUS_V3,3,1.8273460591292416,B1-STATE_ART,-1,B1
9,B1-STATE_ART,1337774207971684352,3,5,-0.1357564443531967,B1-STATE_ART-SCSA_PLUS_V3,2,3.1963956246636913,B1-STATE_ART,1,B1
9,B1-STATE_ART,1292597118763319296,4,5,-0.1429053725721892,B1-STATE_ART-SCSA_PLUS_V3,6,0.26534577650120783,B1-STATE_ART,-2,B1
9,B1-STATE_ART,1322229311718494210,5,2,-0.14381362108733106,B1-STATE_ART-SCSA_PLUS_V3,7,0.10455876759935788,B1-STATE_ART,-2,B1
9,B1-STATE_ART,1322221808913928193,6,2,-0.14747632832670635,B1-STATE_ART-SCSA_PLUS_V3,5,0.375640548127797,B1-STATE_ART,1,B1
9,B1-STATE_ART,1363548342832218116,7,5,-0.14903146344835963,B1-STATE_ART-SCSA_PLUS_V3,10,-2.453300714766769,B1-STATE_ART,-3,B1
9,B1-STATE_ART,1275492317013479424,8,5,-0.15081924649286624,B1-STATE_ART-SCSA_PLUS_V3,9,-0.3436281800397225,B1-STATE_ART,-1,B1
9,B1-STATE_ART,1322191082235506689,9,4,-0.16043836406485482,B1-STATE_ART-SCSA_PLUS_V3,4,0.6601379252812025,B1-STATE_ART,5,B1
9,B1-STATE_ART,1362841895030968326,10,1,-0.1627717450307724,B1-STATE_ART-SCSA_PLUS_V3,1,3.3660194823597203,B1-STATE_ART,9,B1
