source_type,source_id,mentioned_user_id
news,1366910062711685124,258528134
news,1366910062711685124,66814204
news,1366910062711685124,1075135057285779456
news,1366910062711685124,28273857
news,1366910062711685124,1255832742
news,1365109273240473600,995979576
news,1365109273240473600,161418822
news,1365109273240473600,4140881832
news,1365109273240473600,1040361509396905987
news,1365109273240473600,246596682
news,1366197120064192513,324511199
news,1366197120064192513,97518322
news,1366197120064192513,233777204
news,1366197120064192513,258528134
news,1366197120064192513,1075135057285779456
news,1366197120064192513,28273857
news,1334873913210380298,14934774
news,1334873913210380298,58560480
news,1334873913210380298,12092012
news,1334873913210380298,593256821
news,1334873913210380298,715901816857358336
news,1334873913210380298,15166390
news,1360286991011639302,783459397464825856
news,1360286991011639302,2364897541
news,1360286991011639302,4721481919
news,1360286991011639302,999560561972006912
news,1360286991011639302,953863929763020800
news,1354807067232489475,167583967
news,1354807067232489475,15493558
news,1354807067232489475,12092012
news,1354807067232489475,2803191
news,1367532398825648130,715901816857358336
news,1367532398825648130,12092012
news,1367532398825648130,18146496
news,1356255352145272832,524381955
news,1356255352145272832,12092012
news,1356255352145272832,2803191
news,1326033569555181568,35203319
news,1326033569555181568,11922492
news,1365812811721543685,324511199
news,1365812811721543685,233777204
news,1365812811721543685,258528134
news,1365812811721543685,1075135057285779456
news,1365812811721543685,28273857
news,1365784358217523201,97518322
news,1365784358217523201,233777204
news,1365784358217523201,258528134
news,1365784358217523201,324511199
news,1365784358217523201,28273857
news,1365811680815554560,324511199
news,1365811680815554560,233777204
news,1365811680815554560,258528134
news,1365811680815554560,1075135057285779456
news,1365811680815554560,28273857
news,1334130051554668547,41488578
news,1334130051554668547,3050707454
news,1334130051554668547,6446742
news,1334130051554668547,226087776
news,1334130051554668547,2306403086
news,1334130051554668547,14763734
news,1362949278365143050,837078331
news,1336808991792525325,854838283892908033
news,1337102429532217345,290097288
news,1369324832702296067,20009841
news,1363172378843389952,41284429
news,1337104278398382087,57016932
news,1362902698585071617,1852347560
news,1360653537781321732,3013777044
news,1360653537781321732,430177205
news,1360653537781321732,2708191476
news,1360653537781321732,262341591
news,1360653537781321732,1351456233392279553
news,1362920758872133634,83533045
news,1362920758872133634,40717768
news,1362920758872133634,148998835
news,1354353736580124673,2790875190
news,1303727847966674944,69542069
news,1351560050725294082,154677827
news,1318667750408036352,342327238
news,1318667750408036352,19247844
news,1318667750408036352,30274144
news,1318667750408036352,256881576
news,1317810926133874689,135944259
news,1359941706951524353,2439488023
news,1359941706951524353,69460994
news,1359941706951524353,2372600622
news,1349743109832372225,325306055
news,1349743109832372225,154221292
news,1349743109832372225,6351572
news,1349743109832372225,117786848
news,1349743109832372225,29873662
news,1368297763524448256,731186310552158208
news,1368297763524448256,1032978119370723329
news,1283518830950510593,16573941
news,1283518830950510593,1569791546
news,1283518830950510593,92372285
news,1368144516558041088,606345615
news,1368144516558041088,748864710339076096
news,1369378396216692740,171840420
news,1333807391079428096,10228272
news,1369400158912475136,2230170215
