news_id,author_id,social_capital_score,sentiment_enabled
1369579853612281860,28785486,101712.7638446849,True
1369587331691208706,87818409,3575.6509090909094,True
1369601403686182915,16973333,27389.318181818184,True
1364144723590578176,368276033,123745.75674188224,True
1369985018878169089,28785486,859572.5728835138,True
1370003953598013450,28785486,458039.8319541693,True
1369610663547518978,16973333,2758.636363636364,True
1369471231448158208,5988062,6811.862790697674,True
1369578871478235143,16973333,5780.0,True
1369382859534897161,28785486,20165.27562062381,True
1370128693662785544,28785486,41881.726288987906,True
1369037711324119046,1367531,26870.110887096776,True
1369271770960850949,5988062,3776.8744186046515,True
1369511733975515142,14173315,32992.92894280762,True
1362776603047165957,621583,326.4932432432432,True
1369048387815899139,14293310,26059.76470588235,True
1369355243406954501,807095,18152.168110918545,True
1362074171832958980,11856342,50801.98015122874,True
1369614175048249346,25562270,6524.903225806452,True
1359577321695547392,11856342,33395.21030245747,True
1362085735063572482,11856342,57893.62712665407,True
1369292125641269258,46403451,553.9772727264801,True
1369458171467591683,1344951,189.9782608695652,True
1365007905318133766,11856342,162978.94139886578,True
1361388306106318857,368276033,43138.78345389674,True
1361701236395958278,368276033,84092.01981287837,True
1366932843067277314,11856342,1891.1058601134216,True
1369030160943611907,2557521,571.2540235266576,True
1366709656974942211,368276033,418183.68748714984,True
1364579317964034050,368276033,217120.07714668638,True
1369441382973272064,759251,107189.98439482367,True
1369362392749121542,17602896,4282.908339076498,True
1369030162298400778,15635604,1095.1104565537555,True
1363896507242598402,15234657,21612.78947368421,True
1367883861271613441,15234657,4284.473684210527,True
1366963364975452162,82652901,161.9880319148936,True
1369048640111570951,17220817,0.0,True
1166395659500568579,115093611,3690.9858569051576,True
1367559613005004800,18256664,1422.0907563025212,True
1353812372331220992,23119425,96.99481865284974,True
1321186362171666432,140845817,5723.567010309278,True
1342995722761695232,56518880,2997.66623954172,True
1323456695725625344,232010910,1451.6202531645567,True
1240704016046116865,115093611,6363.768718801997,True
1306742315667529729,232010910,10161.341772151898,True
1153306430100910080,23119425,1483.1914950736934,True
1324916905954652168,232010910,1367.4683544303796,True
1368659881260032001,90057442,1907.2770398481973,True
1256258912866766851,115093611,3436.4351081530776,True
1318297870315839488,140845817,942.7051546391751,True
1180250671905263616,23119425,1689.3264248704663,True
1367521202042933249,16573941,16823.744,True
1367300793485828097,26585095,4153.663366336634,True
1369075493753020420,17602896,428.2908339076498,True
1369075561981566976,17602896,342.6326671261199,True
1303249708169613313,65468720,4384.285714285715,True
1364666742916583427,985916593065476096,23545.5,True
1366443197166096385,26585095,2224.1125974299557,True
1367237010608431106,16573941,282.75199999999995,True
1367894335233142789,43192807,47732.75298554368,True
1324374402750767104,140845817,1010.0412371134021,True
1363941648812675075,43192807,12990.936517913262,True
1367315410106736640,82652901,80.9940159574468,True
1368286394792046596,82652901,80.9940159574468,True
1369959855692337152,28785486,81104.29535327817,True
1352325551621595136,19110632,44.82499999943319,True
1369598009084887043,15808647,39607.92567567567,True
1368835740529000449,15808647,10308.912162162162,True
1369397597421645834,807095,60387.41074523396,True
1369242094217404419,14293310,80592.23529411764,True
1369552733536219138,1344951,5984.315217391304,True
1369113689845022721,14293310,10496.294117647058,True
1369456737070313476,807095,17612.99480069324,True
1369525973302079490,28785486,106366.2889879058,True
1369563595978252291,15012486,6283.636363636364,True
1369337073463885828,15012486,8770.909090909092,True
1370053184589299724,28785486,83098.6632718014,True
1369275546044162051,5988062,11735.288372093024,True
1369049581208670208,14293310,13391.823529411764,True
1369506070989836290,759251,52576.075995940126,True
1349380288783253504,19110632,134.47499999829955,True
1349377838722519040,19110632,403.42499999489866,True
1354011094751260673,19110632,89.64999999886638,True
1353672852747284480,19110632,0.0,True
1368622654870192131,15808647,16277.22972972973,True
1352554075657801732,19110632,134.47499999829955,True
1369226601972563972,15808647,14106.932432432433,True
1364851499042537474,19110632,44.82499999943319,True
1369438033892806663,15808647,7596.04054054054,True
1369619124318580736,15808647,8138.614864864865,True
1369495249417101312,28785486,251290.35773392743,True
1352937076669476864,19110632,134.47499999829955,True
1368856158010810369,15808647,21522.114864864863,True
