diversity_score,sentiment_score,reply_count,author_id,domains,quote_count,retweet_count,tokens,entities,urls,context_score,like_count,impression_count,item_id,created_at,hashtags,mentions,recency_score
1.0,-0.2131175994873047,0.0008130235020514662,715177919438577664,{'Entretenimento'},0.014429518672484282,0.01091406577026351,"{'multifariousness', 'testament'}",{'Séries de TV'},{'https://t.co/o7tcxgluyv'},0.0,0.00520972604085961,0.007841583496414718,1317842770816602114,2020-10-18 14:59:35+00:00,,,0.013170711739263615
0.0,0.0,0.0005105031291951067,821102114,{'Entretenimento'},0.0,0.00015314404729088182,,{'Games'},,0.0,0.0033185006410739876,0.000995536954389994,1336964656792035329,2020-12-10 09:23:08+00:00,,"{'36803580', '18334111', '121258930', '3065618342'}",0.06413473993362186
1.0,-0.1751487553119659,0.00022689027964226965,807095,{'Notícias'},0.00017177998419624146,0.00032670730088721453,"{'various', 'redoubtable', 'ideologically', 'schumer', 'delicacy', 'confrontation', 'everything', 'advantageously', 'hypothecate', 'hurdle', 'caucus', 'differentiate', 'workplace'}",{'Do Mundo'},{'https://t.co/iyazlxtyfg'},0.1290281554463294,0.00014627000070849532,0.00021791189135855524,1369441796925886465,2021-03-10 00:15:42+00:00,,{'26756955'},0.9434858059419967
1.0,-0.1430124342441558,0.000605040745712719,821102114,{'Entretenimento'},0.00017177998419624146,0.0011332659499525253,{'lt'},{'Games'},{'https://t.co/rikywdnacx'},0.2789425453258252,0.006952395971175669,0.0022156206627592886,1336810117057179649,2020-12-09 23:09:03+00:00,,"{'110616795', '38232487', '1171755060'}",0.06331946456640153
1.0,-0.2184539437294006,0.00011344513982113482,807095,{'Notícias'},6.871199367849658e-05,0.00016335365044360727,"{'bathroom', 'sympathize', 'stimulation', 'become', 'approximately'}",{'Do Mundo'},{'https://t.co/kjuxbjhmfh'},0.1950623149643585,6.170765654889646e-05,0.00010180461012303378,1369400194513723396,2021-03-09 21:30:23+00:00,,,0.9402419384026465
0.0,0.0,3.781504660704494e-05,821102114,{'Entretenimento'},0.0,2.0419206305450908e-05,,{'Games'},,0.0,4.113843769926431e-05,2.484317265294004e-05,1365327872643260420,2021-02-26 15:48:26+00:00,,"{'1327811881143205888', '1236695563342659589', '3152101881'}",0.6711638299665084
1.0,-0.1324534714221954,0.021857096938871976,821102114,{'Entretenimento'},0.0018208678324801593,0.005748006574984431,"{'contribution', 'update', 'suggestion', 'non', 'endorsement', 'merely'}",{'Games'},,0.1228052680573061,0.02486475738606367,0.013572682183100059,1364607745270423556,2021-02-24 16:06:54+00:00,,,0.632321512635198
1.0,-0.1557211875915527,0.0004915956058915842,821102114,{'Entretenimento'},6.871199367849658e-05,0.00023482087251268545,{'ya'},{'Games'},{'https://t.co/lipziy1zhv'},0.2195109508086083,0.001155304458721006,0.0004876082327009431,1337077938076979205,2020-12-10 16:53:16+00:00,,"{'31137807', '858646142', '1171755060'}",0.0647390102002699
1.0,-0.1235638558864593,1.890752330352247e-05,273181052,{'Entretenimento'},3.435599683924829e-05,0.0,{'belated'},{'Séries de TV'},,0.2195109508086083,7.999140663745838e-06,1.531566520162915e-05,1354118501653483523,2021-01-26 17:26:23+00:00,,"{'164596794', '348224496', '262388975', '40342628', '245229537', '1001950930697240576', '894130670603309056', '326020899', '87239242'}",0.2653511093827321
1.0,-0.1598248779773712,1.890752330352247e-05,24742040,{'Entretenimento'},3.435599683924829e-05,0.0,"{'simulator', 'speculation', 'excessively', 'substantiate', 'international'}",{'Games'},,0.2217678970983253,2.5140156371772633e-05,1.9600919128635847e-05,1369383214062665731,2021-03-09 20:22:54+00:00,,{'1360998579234570249'},0.9389209784378849
